job_id,Size_sqft,Coats,Actual_Labor_Hours,Distance,Concurrent_Job,Synthetic
Coppermine,10200,2,36,55,0,0
Littlestown_Elem_Alloway,7840,2,34,51,0,0
City_of_York,10000,2,26.75,25,0,0
Mifflin_County_Jr_High,8252,2,42,95,1,0
Mifflin_County_Middle_School,11272,2,57,93,1,0
Eastern_York_High_School,12500,2,29.5,16,0,0
Mifflin_County_-_Lewistown_Intermediate,6790,2,23.25,92,1,0
Body_and_Soul_Community,6742,2,23,101,1,0
Spring_Grove_Intermediate_School,6300,1,10.75,35,1,0
Spring_Grove,19250,1,33,35,1,0
Central_Dauphin_HS_Aux_Gym,7090,1,16.25,42,0,0
Central_Dauphin_East_HS,10780,2,47.25,35,1,0
Central_Dauphin_East_Middle_School,6480,2,27.75,35,1,0
Central_Dauphin_Middle_Paxton_ES_Gym,6354,2,36.5,46,0,0
Central_Dauphin_MS_Main_Gym,8205,2,29,36,1,0
Central_Dauphin_Middle_School_Aux_Gym,7090,1,18,36,1,0
Eastern_York_Middle,9000,2,29.5,16,1,0
Wrightsville_Elementary,7543,2,24.75,13,1,0
Central_Dauphin_Swatara,6100,2,23.75,32,1,0
Central_Dauphin_Linglestown,7256,2,28.25,36,1,0
Central_Dauphin_West_Hanover,6100,2,23.75,36,1,0
Big_Springs_HS,12900,2,43.5,69,1,0
Big_Spring_Middle_School,7900,2,26.5,69,1,0
Warrior_Run_Elementary,7680,2,34.5,107,1,0
Warrior_Run_HS_Aux,8298,2,37.5,107,1,0
Elizabethtown_Area_HS_Main,10985,1,21.25,19,1,0
Elizabethtown_Area_HS_Aux,7892,1,15,19,1,0
Elizabethtown_Area_Bear_Creek_ES,8820,1,20.75,17,0,0
York_Suburban_HS,10000,2,22.5,25,1,0
York_Suburban_MS,7856,2,17.5,22,1,0
Littlestown_HS_Blue,10800,2,27.25,50.5,0,0
Southeastern_HS,12320,2,35.5,38,1,0
Southeastern_MS,6750,2,19.5,38,1,0
West_Shore_Washington_Heights,5725,1,14,37,0,0
West_Shore_Fairview,7175,2,,,,
West_Shore_Old_Trail_Intermediate,7033,2,,,,
West_Shore_Highland,5788,1,,,,
West_Shore_Hillside_Elementary,5700,1,,,,
West_Shore_Newberry,4000,1,,,,
West_Shore_Red_Mill_Elementary,6000,1,,,,
Cavoli_Home_Gym,6600,2,,,,
Berwick_YMCA,12500,2,,,,
Bloomsburg_HS,7260,2,,,,
Bloomsburg_MS,9765,2,,,,
Bloomsburg_Beaver,3112,1,,,,
Bloomsburg_Evans,6661,1,,,,
Warrior_Run_Varsity_Gym,8000,2,,,,
Gettysburg_College,18100,,,,,
